academic_program_code,alias_type,alias_name,normalized_alias_name,source
U04080300126,official_name,정보컴퓨터공학부,정보컴퓨터공학부,2026_department_classification
U04080300126,display_name,정보의생명공학대학 정보컴퓨터공학부,정보의생명공학대학정보컴퓨터공학부,2026_department_classification
U04090100007,official_name,사회기반시스템공학과,사회기반시스템공학과,2026_department_classification
U04090100007,display_name,공과대학 사회기반시스템공학과,공과대학사회기반시스템공학과,2026_department_classification
U04090100017,official_name,산업공학과,산업공학과,2026_department_classification
U04090100017,display_name,공과대학 산업공학과,공과대학산업공학과,2026_department_classification
U04100100001,official_name,고분자공학과,고분자공학과,2026_department_classification
U04100100001,display_name,공과대학 고분자공학과,공과대학고분자공학과,2026_department_classification
U04100100021,official_name,응용화학공학부,응용화학공학부,2026_department_classification
U04100100021,display_name,공과대학 응용화학공학부,공과대학응용화학공학부,2026_department_classification
U04100100035,official_name,화공생명공학과,화공생명공학과,2026_department_classification
U04100100035,display_name,공과대학 화공생명공학과,공과대학화공생명공학과,2026_department_classification
U04100100036,official_name,화공생명공학부,화공생명공학부,2026_department_classification
U04100100036,display_name,공과대학 화공생명공학부,공과대학화공생명공학부,2026_department_classification
U04100100059,official_name,고분자신소재공학전공,고분자신소재공학전공,2026_department_classification
U04100100059,display_name,공과대학 고분자신소재공학전공,공과대학고분자신소재공학전공,2026_department_classification
U04100100121,official_name,화학공학과(LG하우시스),화학공학과(lg하우시스),2026_department_classification
U04100100121,display_name,공과대학 화학공학과(LG하우시스),공과대학화학공학과(lg하우시스),2026_department_classification
U04100100121,parent_department_name,화학공학과,화학공학과,2026_department_classification
U04100100121,major_name,LG하우시스,lg하우시스,2026_department_classification
U04100100133,official_name,화공생명.환경공학부,화공생명.환경공학부,2026_department_classification
U04100100133,display_name,공과대학 화공생명.환경공학부,공과대학화공생명.환경공학부,2026_department_classification
U04100100134,official_name,화공생명.환경공학부 화공생명공학전공,화공생명.환경공학부화공생명공학전공,2026_department_classification
U04100100134,display_name,공과대학 화공생명.환경공학부 화공생명공학전공,공과대학화공생명.환경공학부화공생명공학전공,2026_department_classification
U04100100135,official_name,화공생명.환경공학부 환경공학전공,화공생명.환경공학부환경공학전공,2026_department_classification
U04100100135,display_name,공과대학 화공생명.환경공학부 환경공학전공,공과대학화공생명.환경공학부환경공학전공,2026_department_classification
U04110200109,official_name,바이오메디컬공학과,바이오메디컬공학과,2026_department_classification
U04110200109,display_name,생명자원과학대학 바이오메디컬공학과,생명자원과학대학바이오메디컬공학과,2026_department_classification
U04110300039,official_name,교양학부(공학계열),교양학부(공학계열),2026_department_classification
U04110300039,display_name,단과대구분없음 교양학부(공학계열),단과대구분없음교양학부(공학계열),2026_department_classification
U04110300039,parent_department_name,교양학부,교양학부,2026_department_classification
U04110300039,major_name,공학계열,공학계열,2026_department_classification
U04110300158,official_name,첨단융합학부,첨단융합학부,2026_department_classification
U04110300158,display_name,학부대학 첨단융합학부,학부대학첨단융합학부,2026_department_classification
U04110300165,official_name,첨단융합학부(정보의생명공학자율전공),첨단융합학부(정보의생명공학자율전공),2026_department_classification
U04110300165,display_name,정보의생명공학대학 첨단융합학부(정보의생명공학자율전공),정보의생명공학대학첨단융합학부(정보의생명공학자율전공),2026_department_classification
U04110300165,parent_department_name,첨단융합학부,첨단융합학부,2026_department_classification
U04110300165,major_name,정보의생명공학자율전공,정보의생명공학자율전공,2026_department_classification
U04110300166,official_name,첨단융합학부(나노자율전공),첨단융합학부(나노자율전공),2026_department_classification
U04110300166,display_name,학부대학 첨단융합학부(나노자율전공),학부대학첨단융합학부(나노자율전공),2026_department_classification
U04110300166,parent_department_name,첨단융합학부,첨단융합학부,2026_department_classification
U04110300166,major_name,나노자율전공,나노자율전공,2026_department_classification
U04110300167,official_name,첨단융합학부(공학자율전공),첨단융합학부(공학자율전공),2026_department_classification
U04110300167,display_name,학부대학 첨단융합학부(공학자율전공),학부대학첨단융합학부(공학자율전공),2026_department_classification
U04110300167,parent_department_name,첨단융합학부,첨단융합학부,2026_department_classification
U04110300167,major_name,공학자율전공,공학자율전공,2026_department_classification
U05020100014,official_name,생명과학과,생명과학과,2026_department_classification
U05020100014,display_name,자연과학대학 생명과학과,자연과학대학생명과학과,2026_department_classification
U05020100017,official_name,생명과학부,생명과학부,2026_department_classification
U05020100017,display_name,자연과학대학 생명과학부,자연과학대학생명과학부,2026_department_classification
U05020100161,official_name,바이오시스템공학부,바이오시스템공학부,2026_department_classification
U05020100161,display_name,생명자원과학대학 바이오시스템공학부,생명자원과학대학바이오시스템공학부,2026_department_classification
U05020100173,official_name,생명응용과학부,생명응용과학부,2026_department_classification
U05020100173,display_name,생명자원과학대학 생명응용과학부,생명자원과학대학생명응용과학부,2026_department_classification
U05020200005,official_name,미생물학과,미생물학과,2026_department_classification
U05020200005,display_name,자연과학대학 미생물학과,자연과학대학미생물학과,2026_department_classification
U05020200010,official_name,분자생물학과,분자생물학과,2026_department_classification
U05020200010,display_name,자연과학대학 분자생물학과,자연과학대학분자생물학과,2026_department_classification
U05020500010,official_name,화학과,화학과,2026_department_classification
U05020500010,display_name,자연과학대학 화학과,자연과학대학화학과,2026_department_classification
U05020600005,official_name,사회환경시스템공학부,사회환경시스템공학부,2026_department_classification
U05020600005,display_name,공과대학 사회환경시스템공학부,공과대학사회환경시스템공학부,2026_department_classification
U05020600027,official_name,지구환경시스템학부,지구환경시스템학부,2026_department_classification
U05020600027,display_name,자연과학대학 지구환경시스템학부,자연과학대학지구환경시스템학부,2026_department_classification
U05020600045,official_name,환경공학과,환경공학과,2026_department_classification
U05020600045,display_name,공과대학 환경공학과,공과대학환경공학과,2026_department_classification
U05020600049,official_name,환경공학전공,환경공학전공,2026_department_classification
U05020600049,display_name,공과대학 환경공학전공,공과대학환경공학전공,2026_department_classification
U05020600127,official_name,지역환경시스템전공,지역환경시스템전공,2026_department_classification
U05020600127,display_name,생명자원과학대학 지역환경시스템전공,생명자원과학대학지역환경시스템전공,2026_department_classification
U05020600142,official_name,사회환경시스템공학부 환경공학전공,사회환경시스템공학부환경공학전공,2026_department_classification
U05020600142,display_name,공과대학 사회환경시스템공학부 환경공학전공,공과대학사회환경시스템공학부환경공학전공,2026_department_classification
U05020600147,official_name,지역환경시스템공학과,지역환경시스템공학과,2026_department_classification
U05020600147,display_name,생명자원과학대학 지역환경시스템공학과,생명자원과학대학지역환경시스템공학과,2026_department_classification
U05030100034,official_name,아동가족학과,아동가족학과,2026_department_classification
U05030100034,display_name,생활과학대학 아동가족학과,생활과학대학아동가족학과,2026_department_classification
U05030100034,official_name,아동가족학과,아동가족학과,2026_department_classification
U05030100034,display_name,생활환경대학 아동가족학과,생활환경대학아동가족학과,2026_department_classification
U05030100046,official_name,주거환경학과,주거환경학과,2026_department_classification
U05030100046,display_name,생활환경대학 주거환경학과,생활환경대학주거환경학과,2026_department_classification
U05030200020,official_name,식품공학전공,식품공학전공,2026_department_classification
U05030200020,display_name,생명자원과학대학 식품공학전공,생명자원과학대학식품공학전공,2026_department_classification
U05030200045,official_name,식품영양학과,식품영양학과,2026_department_classification
U05030200045,display_name,생활과학대학 식품영양학과,생활과학대학식품영양학과,2026_department_classification
U05030200045,official_name,식품영양학과,식품영양학과,2026_department_classification
U05030200045,display_name,생활환경대학 식품영양학과,생활환경대학식품영양학과,2026_department_classification
U05030300008,official_name,의류학과,의류학과,2026_department_classification
U05030300008,display_name,생활과학대학 의류학과,생활과학대학의류학과,2026_department_classification
U05030300008,official_name,의류학과,의류학과,2026_department_classification
U05030300008,display_name,생활환경대학 의류학과,생활환경대학의류학과,2026_department_classification
U05040100016,official_name,수학과,수학과,2026_department_classification
U05040100016,display_name,자연과학대학 수학과,자연과학대학수학과,2026_department_classification
U05040100097,official_name,지능형헬스사이언스융합전공,지능형헬스사이언스융합전공,2026_department_classification
U05040100097,display_name,단과대구분없음 지능형헬스사이언스융합전공,단과대구분없음지능형헬스사이언스융합전공,2026_department_classification
U05040200022,official_name,통계학과,통계학과,2026_department_classification
U05040200022,display_name,자연과학대학 통계학과,자연과학대학통계학과,2026_department_classification
U05040300016,official_name,물리학과,물리학과,2026_department_classification
U05040300016,display_name,자연과학대학 물리학과,자연과학대학물리학과,2026_department_classification
U05040300059,official_name,나노과학기술학과군,나노과학기술학과군,2026_department_classification
U05040300059,display_name,나노과학기술대학 나노과학기술학과군,나노과학기술대학나노과학기술학과군,2026_department_classification
U05040400003,official_name,대기환경과학과,대기환경과학과,2026_department_classification
U05040400003,display_name,자연과학대학 대기환경과학과,자연과학대학대기환경과학과,2026_department_classification
U05040500023,official_name,지질환경과학과,지질환경과학과,2026_department_classification
U05040500023,display_name,자연과학대학 지질환경과학과,자연과학대학지질환경과학과,2026_department_classification
U05040600055,official_name,교양학부(자연과학계열),교양학부(자연과학계열),2026_department_classification
U05040600055,display_name,단과대구분없음 교양학부(자연과학계열),단과대구분없음교양학부(자연과학계열),2026_department_classification
U05040600055,parent_department_name,교양학부,교양학부,2026_department_classification
U05040600055,major_name,자연과학계열,자연과학계열,2026_department_classification
U06010100008,official_name,교양학부(의학계열),교양학부(의학계열),2026_department_classification
